clip_id,issue,detail
nar_015_001_1,sample_rate_below_24khz,
nar_015_001_2,sample_rate_below_24khz,
nar_015_002_1,sample_rate_below_24khz,
nar_015_002_2,sample_rate_below_24khz,
nar_015_003_1,sample_rate_below_24khz,
nar_015_003_2,sample_rate_below_24khz,
nar_015_004_1,sample_rate_below_24khz,
nar_015_004_2,sample_rate_below_24khz,
nar_015_005_1,sample_rate_below_24khz,
nar_015_005_2,sample_rate_below_24khz,
nar_015_006_1,sample_rate_below_24khz,
nar_015_006_2,sample_rate_below_24khz,
nar_015_007_1,sample_rate_below_24khz,
nar_015_007_2,sample_rate_below_24khz,
nar_015_008_1,sample_rate_below_24khz,
nar_015_008_2,sample_rate_below_24khz,
nar_015_009_1,sample_rate_below_24khz,
nar_015_009_2,sample_rate_below_24khz,
nar_015_010_1,sample_rate_below_24khz,
nar_015_010_2,sample_rate_below_24khz,
nar_024_009_1,unicode_control_character,
nar_026_006_2,unicode_control_character,
nar_032_007_2,unicode_control_character,
nar_032_010_1,unicode_control_character,
nar_034_001_1,unicode_control_character,
nar_036_006_1,unicode_control_character,
nar_039_001_1,sample_rate_below_24khz,
nar_039_001_2,sample_rate_below_24khz,
nar_039_002_1,sample_rate_below_24khz,
nar_039_002_2,sample_rate_below_24khz,
nar_039_003_1,sample_rate_below_24khz,
nar_039_003_2,sample_rate_below_24khz,
nar_039_004_1,sample_rate_below_24khz,
nar_039_004_2,sample_rate_below_24khz,
nar_039_005_1,sample_rate_below_24khz,
nar_039_005_2,sample_rate_below_24khz,
nar_039_006_1,sample_rate_below_24khz,
nar_039_006_2,sample_rate_below_24khz,
nar_039_007_1,sample_rate_below_24khz,
nar_039_007_2,sample_rate_below_24khz,
nar_039_008_1,sample_rate_below_24khz,
nar_039_008_2,sample_rate_below_24khz,
nar_039_009_1,sample_rate_below_24khz,
nar_039_009_2,sample_rate_below_24khz,
nar_039_010_1,sample_rate_below_24khz,
nar_039_010_2,sample_rate_below_24khz,
nar_047_001_1,sample_rate_below_24khz,
nar_047_001_2,sample_rate_below_24khz,
nar_047_002_1,sample_rate_below_24khz,
nar_047_002_2,sample_rate_below_24khz,
nar_047_003_1,sample_rate_below_24khz,
nar_047_003_2,sample_rate_below_24khz,
nar_047_004_1,sample_rate_below_24khz,
nar_047_004_2,sample_rate_below_24khz,
nar_047_005_1,sample_rate_below_24khz,
nar_047_005_2,sample_rate_below_24khz,
nar_047_006_1,sample_rate_below_24khz,
nar_047_006_2,sample_rate_below_24khz,
nar_047_007_1,sample_rate_below_24khz,
nar_047_007_2,sample_rate_below_24khz,
nar_047_008_1,sample_rate_below_24khz,
nar_047_008_2,sample_rate_below_24khz,
nar_047_009_1,sample_rate_below_24khz,
nar_047_009_2,sample_rate_below_24khz,
nar_047_010_1,sample_rate_below_24khz,
nar_047_010_2,sample_rate_below_24khz,
nar_049_008_2,unicode_control_character,
nar_055_005_2,unicode_control_character,
