clip_id,issue
nar_001_004_2,long_trailing_silence
nar_001_005_2,long_trailing_silence
nar_002_009_1,long_trailing_silence
nar_014_005_1,low_peak
nar_014_008_2,low_peak
nar_015_001_1,sample_rate_below_24khz
nar_015_001_2,sample_rate_below_24khz
nar_015_002_1,sample_rate_below_24khz
nar_015_002_2,sample_rate_below_24khz
nar_015_003_1,low_peak
nar_015_003_1,sample_rate_below_24khz
nar_015_003_2,low_peak
nar_015_003_2,sample_rate_below_24khz
nar_015_004_1,sample_rate_below_24khz
nar_015_004_2,sample_rate_below_24khz
nar_015_005_1,sample_rate_below_24khz
nar_015_005_2,sample_rate_below_24khz
nar_015_006_1,sample_rate_below_24khz
nar_015_006_2,sample_rate_below_24khz
nar_015_007_1,sample_rate_below_24khz
nar_015_007_2,sample_rate_below_24khz
nar_015_008_1,sample_rate_below_24khz
nar_015_008_2,sample_rate_below_24khz
nar_015_009_1,low_peak
nar_015_009_1,sample_rate_below_24khz
nar_015_009_2,sample_rate_below_24khz
nar_015_010_1,sample_rate_below_24khz
nar_015_010_2,sample_rate_below_24khz
nar_016_003_2,low_peak
nar_016_006_2,low_peak
nar_016_007_2,low_peak
nar_016_008_1,low_peak
nar_016_008_2,low_peak
nar_016_010_2,low_peak
nar_017_001_2,low_peak
nar_017_004_1,low_peak
nar_017_005_1,low_peak
nar_018_002_1,low_peak
nar_018_003_2,low_peak
nar_018_004_1,low_peak
nar_018_008_1,low_peak
nar_019_001_1,low_peak
nar_019_006_1,low_peak
nar_020_001_2,low_peak
nar_020_002_1,low_peak
nar_020_002_2,low_peak
nar_020_005_1,low_peak
nar_020_005_2,low_peak
nar_020_006_1,low_peak
nar_020_006_2,low_peak
nar_020_007_1,low_peak
nar_020_007_2,low_peak
nar_020_008_2,low_peak
nar_020_010_1,low_peak
nar_021_002_2,low_peak
nar_021_003_1,low_peak
nar_021_004_1,low_peak
nar_021_004_2,low_peak
nar_021_005_1,low_peak
nar_021_005_2,low_peak
nar_021_006_1,low_peak
nar_021_007_1,low_peak
nar_021_007_2,low_peak
nar_021_009_1,low_peak
nar_021_010_2,low_peak
nar_022_005_1,low_peak
nar_022_007_2,low_peak
nar_022_008_1,low_peak
nar_022_008_2,low_peak
nar_022_011_1,low_peak
nar_023_005_1,low_peak
nar_023_011_1,low_peak
nar_024_005_1,low_peak
nar_024_007_2,low_peak
nar_024_010_2,low_peak
nar_026_001_2,low_peak
nar_026_004_1,low_peak
nar_026_009_2,low_peak
nar_035_006_1,long_trailing_silence
nar_039_001_1,sample_rate_below_24khz
nar_039_001_2,sample_rate_below_24khz
nar_039_002_1,sample_rate_below_24khz
nar_039_002_2,sample_rate_below_24khz
nar_039_003_1,sample_rate_below_24khz
nar_039_003_2,sample_rate_below_24khz
nar_039_004_1,sample_rate_below_24khz
nar_039_004_2,sample_rate_below_24khz
nar_039_005_1,sample_rate_below_24khz
nar_039_005_2,sample_rate_below_24khz
nar_039_006_1,sample_rate_below_24khz
nar_039_006_2,sample_rate_below_24khz
nar_039_007_1,sample_rate_below_24khz
nar_039_007_2,sample_rate_below_24khz
nar_039_008_1,sample_rate_below_24khz
nar_039_008_2,sample_rate_below_24khz
nar_039_009_1,sample_rate_below_24khz
nar_039_009_2,sample_rate_below_24khz
nar_039_010_1,sample_rate_below_24khz
nar_039_010_2,sample_rate_below_24khz
nar_047_001_1,sample_rate_below_24khz
nar_047_001_2,sample_rate_below_24khz
nar_047_002_1,sample_rate_below_24khz
nar_047_002_2,sample_rate_below_24khz
nar_047_003_1,sample_rate_below_24khz
nar_047_003_2,sample_rate_below_24khz
nar_047_004_1,sample_rate_below_24khz
nar_047_004_2,sample_rate_below_24khz
nar_047_005_1,sample_rate_below_24khz
nar_047_005_2,sample_rate_below_24khz
nar_047_006_1,sample_rate_below_24khz
nar_047_006_2,sample_rate_below_24khz
nar_047_007_1,sample_rate_below_24khz
nar_047_007_2,sample_rate_below_24khz
nar_047_008_1,sample_rate_below_24khz
nar_047_008_2,sample_rate_below_24khz
nar_047_009_1,sample_rate_below_24khz
nar_047_009_2,sample_rate_below_24khz
nar_047_010_1,sample_rate_below_24khz
nar_047_010_2,sample_rate_below_24khz
